C,T(B=10°),T(B=20°),T(B=30°),T(B=40°),T(B=50°),T(B=60°),T(B=70°),T(B=80°)
95,0,0,0,9080.181581441053,14584.71294612915,12373.082214333634,8919.214692197798,5514.668431125485
96,0,0,0,8893.635385158776,14680.757244851355,12448.574264759765,9002.787127251682,5539.194987152985
97,0,0,0,8705.029461841423,14753.491345350827,12523.603214567289,9087.143365815155,5564.327138740415
98,0,0,0,8514.281428833216,14809.056295064667,12599.048957725228,9171.326819595903,5590.074596316059
99,0,0,0,8324.452276408387,14852.855400129658,12676.337529437586,9256.16222839001,5616.447269485245
100,0,0,0,8128.718404655961,14887.07569373192,12752.453252545442,9337.553153786352,5643.455269637988
101,0,0,0,7934.740876607388,14908.063624558945,12829.64184479301,9426.148135584344,5673.10200899029
102,0,0,0,7734.374460286903,14916.099185297047,12908.19483644752,9516.118734285841,5703.685286674537
103,0,0,0,7529.098671820084,14913.29008313278,12988.11101754009,9606.27426295289,5735.027202775305
104,0,0,0,7319.651520467823,14903.728072298245,13069.844678161817,9696.625184428969,5767.139455729598
105,0,0,0,7109.91616215053,14891.001362848769,13152.807989804876,9789.111557270986,5800.033987010582
106,0,0,0,6901.069511370237,14871.23308914594,13236.911252743703,9882.745041144031,5833.7229853126555
107,0,0,0,6690.7719105565975,14846.216527681036,13322.05336462108,9976.929363441026,5869.380066988008
108,0,0,0,6477.851970356089,14884.152625233295,13408.788996081039,10072.27318029008,5907.651370981489
109,0,0,0,6263.722948142207,14916.580270929742,13496.591342005231,10167.644678669967,5946.865097830404
110,0,0,0,6045.176733107456,14946.053653670602,13586.10658494382,10263.359069874927,5987.03555375529
111,0,0,0,5825.051000558118,14955.51368814034,13676.962265643037,10360.13108979616,6028.177349669283
112,0,0,0,5605.185094107866,14948.837295822475,13769.627188007798,10457.761675154403,6071.648125282842
113,0,0,0,5380.2046024152305,14930.535455145566,13863.894505184939,10556.4771298951,6118.693531943569
114,0,0,0,5150.478397384204,14909.274836918145,13963.928663514713,10656.135876180484,6166.890517767912
115,0,0,0,4917.210004108736,14880.240520991958,14087.843753286736,10757.057782266362,6216.256572234512
116,0,0,0,4684.789103381998,14837.782694122656,14209.987503727278,10859.369021904868,6269.498964168546
117,0,0,0,4452.728947061989,14780.355677480029,14328.071955597386,10956.819105822622,6326.521844641076
118,0,0,0,4216.664380179693,14713.317423916793,14442.269244606725,11064.246113501822,6384.938218722483
119,0,0,0,3968.620664152484,14638.393212999455,14554.615538014683,11173.087546726229,6444.769602579893
120,0,0,0,3714.6508307589993,14555.517291174656,14669.271309044341,11282.762954114634,6506.038013902244
121,0,0,0,3455.374407544797,14463.833879145588,14781.693597316404,11392.633060647553,6568.765985215013
122,0,0,0,3195.26507097517,14365.497122774163,14891.438597697756,11503.486906956465,6632.9765765162665
123,0,0,0,2936.3386222557237,14273.302104572875,14999.32677463506,11615.498406657838,6704.33200160802
124,0,0,0,2678.738712805416,14176.577837713194,15106.496757332574,11729.330975636094,6778.7589959110965
125,0,0,0,2418.094953996041,14071.653209780754,15231.629090899867,11846.839407591315,6854.955282265399
126,0,0,0,2155.4192977464763,13955.845533395232,15370.289883224577,11977.527392362828,6932.949535275102
127,0,0,0,1894.2499657540063,13834.511231337521,15504.702056802316,12106.835767808729,7012.771149944332
128,0,0,0,1627.1764011117023,13696.444476414417,15620.311963003978,12217.098784216063,7081.62429420021
129,0,0,0,1358.857096860353,13555.71032828682,15729.17205477569,12321.981941954888,7150.079812986151
130,0,0,0,1082.4300976276295,13405.449933690119,15833.885498141926,12425.325728156196,7219.995905240945
131,0,0,0,814.2482052110823,13254.919028289509,15938.977911442398,12529.057181824655,7291.394600459249
132,0,0,0,551.4951129307,13102.629442133815,16040.974193578655,12630.594202028726,7364.298565061616
133,0,0,0,292.96213319981484,12944.951310183165,16139.853704090325,12731.074552617318,7438.731119464447
134,0,0,0,31.14641016075436,12779.872569857833,16251.641487584922,12831.018890978594,7506.671582876207
