C,W(B=10°),W(B=20°),W(B=30°),W(B=40°),W(B=50°),W(B=60°),W(B=70°),W(B=80°)
119,0,0,0,585470.0648437327,1322000.770744094,1724040.6083084042,2176445.1206999933,2348777.8394990903
120,0,0,0,574340.9157585568,1330019.4014839309,1732094.2357892373,2189181.745631402,2363675.3705277643
121,0,0,0,562330.2962597176,1338446.9658328092,1741193.6167839686,2202009.181354858,2378713.8659449075
122,0,0,0,549668.4010271796,1346648.3404898115,1749518.297042745,2214928.856963114,2393896.151517841
123,0,0,0,536533.4920548855,1354472.145087069,1761056.0533073917,2227942.250774479,2409223.7672280152
124,0,0,0,523051.56509472674,1362054.4218537654,1771456.3555298194,2241050.891952578,2424698.296823642
125,0,0,0,509503.05274461734,1369365.2724417509,1782128.8135871391,2254256.362122413,2440321.369079285
126,0,0,0,495656.139540047,1376267.6714840783,1792802.160377812,2267560.297068826,2456094.6591595686
127,0,0,0,482104.499861392,1383419.8804405853,1804094.028520868,2280964.3885042686,2472019.890032597
128,0,0,0,468204.4644494119,1390640.2327857546,1814524.1013604647,2294470.385909267,2488538.5211653826
129,0,0,0,453996.2385550967,1397297.6388730754,1824779.3505049907,2308080.098449197,2507252.549255965
130,0,0,0,439483.0124088448,1402669.2743445418,1837428.9658079385,2321795.3969712015,2526122.2120585036
131,0,0,0,424679.8753769087,1407567.1434468722,1850018.3061316675,2335618.2160852896,2545149.8558205054
132,0,0,0,409636.5761898851,1411775.6442210693,1862104.8217866167,2349550.5563339214,2564337.759522484
133,0,0,0,393654.25972476474,1412553.8665495275,1875135.8949386065,2363594.486454677,2583688.265610883
134,0,0,0,376689.99431381305,1413336.9270243638,1888757.5402651853,2377752.145740807,2603203.782059973
135,0,0,0,358070.78826412087,1413981.0569360752,1901020.3527876656,2392025.746504867,2622886.784552476
136,0,0,0,339079.7901999263,1415350.9428756502,1912834.779577178,2406417.5766508733,2642739.8187504034
137,0,0,0,319767.1674618742,1415795.4879321887,1926350.815636525,2420930.002360826,2662765.5026606885
138,0,0,0,300148.0238632014,1415759.7586925412,1939489.56977684,2435565.470901772,2682966.5291004404
139,0,0,0,280020.1328756824,1415164.5499628682,1952358.4463715693,2450326.513560013,2703345.668266968
140,0,0,0,259450.77392210663,1414706.7985214002,1964488.9716679105,2465215.74870946,2723905.770418032
141,0,0,0,239014.7066267791,1413160.0082612298,1975995.9543192137,2480235.8850216125,2744649.768668144
142,0,0,0,217934.2508398812,1410647.803941172,1987535.059567284,2495380.443136386,2765580.681907074
143,0,0,0,196304.70836681087,1405982.3943621134,1999028.519127896,2510641.2801687554,2786701.6178471544
144,0,0,0,174428.57370174053,1401165.183905167,2013085.5328553524,2526040.0541090206,2808014.875512974
145,0,0,0,152771.33937366595,1397722.0072294746,2028179.55827023,2541579.8241213113,2829518.6513138223
146,0,0,0,131084.31113797982,1393622.823790795,2045392.246140817,2557263.8551112036,2851221.7525754655
147,0,0,0,109338.10829019347,1389261.2541571916,2061511.3951579873,2573095.2376607866,2873127.6542466343
148,0,0,0,87345.38862024655,1384744.1582750059,2077164.794943906,2589077.458735752,2895239.937204682
149,0,0,0,65223.27623814801,1379803.363294842,2091862.4240262501,2605214.0352426143,2917562.292236476
150,0,0,0,43076.519619266815,1373834.3453902514,2106826.0244475272,2621508.610140314,2940098.5242006127
151,0,0,0,0.0,1368124.4458491188,2121546.903707109,2637964.9575670557,2962852.556388731
152,0,0,0,0,1362108.644381332,2135867.1125012487,2654586.988231535,2985828.4350977214
153,0,0,0,0,1355907.8442731062,2149840.532814242,2671378.755085189,3009030.3344253525
154,0,0,0,0,1349222.4594687861,2163683.3231926337,2688344.459293346,3032462.5613027858
155,0,0,0,0,1341568.9167570781,2176886.512631582,2705488.456524506,3056129.560778407
156,0,0,0,0,1333148.1343065284,2189338.238915311,2722815.263578444,3080035.9215684338
157,0,0,0,0,1324873.6653358107,2201029.2174328235,2738843.1592998737,3104186.381890882
